genres,id,overview,title
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",862,led woody andys toys live happily room andys birthday brings buzz lightyear onto scene afraid losing place andys heart woody plots buzz circumstances separate buzz woody owner duo eventually learns put aside differences ,Toy Story
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",8844,siblings judy peter discover enchanted board game opens door magical world unwittingly invite alan  adult whos trapped inside game 26 years  living room alans hope freedom finish game proves risky three find running giant rhinoceroses evil monkeys terrifying creatures ,Jumanji
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",15602,family wedding reignites ancient feud nextdoor neighbors fishing buddies john max meanwhile sultry italian divorcée opens restaurant local bait shop alarming locals worry shell scare fish away shes less interested seafood cooking hot time max ,Grumpier Old Men
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",31357,cheated mistreated stepped women holding breath waiting elusive good man break string lessthanstellar lovers friends confidants vannah bernie glo robin talk determined find better way breathe ,Waiting to Exhale
"[{'id': 35, 'name': 'Comedy'}]",11862,george banks recovered daughters wedding receives news shes pregnant  georges wife nina expecting planning selling home thats plan  like george  change arrival grandchild kid ,Father of the Bride Part II
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",949,obsessive master thief neil mccauley leads topnotch crew various insane heists throughout los angeles mentally unstable detective vincent hanna pursues without rest man recognizes respects ability dedication even though aware catandmouse game may end violence ,Heat
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11860,ugly duckling undergone remarkable change still harbors feelings crush carefree playboy businessfocused brother something say ,Sabrina
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",45325,mischievous young boy tom sawyer witnesses murder deadly injun joe tom becomes friends huckleberry finn boy future family tom choose honoring friendship honoring oath town alcoholic accused murder tom huck go several adventures trying retrieve evidence ,Tom and Huck
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",9091,international action superstar jean claude van damme teams powers boothe tensionpacked suspense thriller set backdrop stanley cup gamevan damme portrays father whose daughter suddenly taken championship hockey game captors demanding billion dollars games end van damme frantically sets plan motion rescue daughter abort impending explosion final buzzer ,Sudden Death
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",710,james bond must unmask mysterious head janus syndicate prevent leader utilizing goldeneye weapons system inflict devastating revenge britain ,GoldenEye
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9087,widowed us president andrew shepherd one worlds powerful men anything wants  covets sydney ellen wade washington lobbyist shepherds attempts courting spark wild rumors decimate approval ratings ,The American President
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",12110,lawyer shows vampires doorstep falls prey charms joins search fresh blood enter dr van helsing may one able vanquish count ,Dracula: Dead and Loving It
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",21032,outcast halfwolf risks life prevent deadly epidemic ravaging nome alaska ,Balto
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",10858,allstar cast powers epic look american president richard nixon man carrying fate world shoulders battling selfdestructive demands within spanning troubled boyhood california shocking watergate scandal would end presidency ,Nixon
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1408,morgan adams slave william shaw quest recover three portions treasure map unfortunately final portion held murderous uncle dawg crew skeptical leadership abilities must complete quest mutiny made yet difficult efforts british crown end pirate raids ,Cutthroat Island
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",524,life gambling paradise  las vegas  dark mafia underbelly ,Casino
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4584,rich mr dashwood dies leaving second wife daughters poor rules inheritance two daughters titular opposites ,Sense and Sensibility
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",5,ted bellhops first night joband hotels unusual guests place outrageous predicaments seems evenings room service serving one unbelievable happening another ,Four Rooms
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",9273,summoned ashram tibet ace finds perilous journey jungles africa find shikaka missing sacred animal friendly wachati tribe must accomplish wedding wachatis princess prince warrior wachootoos ace fails result vicious tribal war ,Ace Ventura: When Nature Calls
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",11517,vengeful new york transit cop decides steal trainload subway fares foster brother fellow cop tries protect ,Money Train
"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",8012,chili palmer miami mobster gets sent boss psychopathic bones barboni collect bad debt harry zimm hollywood producer specializes cheesy horror films chili meets harrys leading lady romantic sparks fly pitching life story movie idea chili learns mobster hollywood producer really arent different ,Get Shorty
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1710,agoraphobic psychologist female detective must work together take serial killer copies serial killers past ,Copycat
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",9691,assassin robert rath arrives funeral kill prominent mobster witness rival hired gun complete job  grisly results horrified murder innocent bystanders rath decides take one last job return civilian life finding way world contract killing grows ever dangerous rath falls female target becomes marked man ,Assassins
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",12665,harassed classmates wont accept shocking appearance shy young man known powder struggles fit cruel taunts stop powder displays mysterious power allows incredible things phenomenon changes lives around ways never could imagined ,Powder
